Date,Time,Tool,Action,User,CheckIn,DateIn,TimeIn
2016-03-31,11:47:52am,Cat_6_Kit,Checked Out,jhooks,Checked In,2016-03-31,11:48:00am
2016-03-31,11:48:05am,BNC_Kit,Checked Out,jhooks,Checked In,2016-03-31,11:48:10am
2016-03-31,12:33:57pm,Cat_6_Kit,Checked Out,coharris,Checked In,2016-03-31,12:34:21pm
2016-03-31,07:34:50pm,Cat_6_Kit,Checked Out,tknaga,Checked In,2016-04-05,10:57:09pm
2016-04-01,09:13:34am,BNC_Kit,Checked Out,jhooks,Checked In,2016-04-01,09:13:49am
2016-04-01,09:14:15am,BNC_Kit,Checked Out,jhooks,Checked In,2016-04-01,09:14:34am
2016-04-04,01:48:12pm,BNC_Kit,Checked Out,jhooks,Checked In,2016-04-04,01:48:59pm
2016-04-05,10:56:31pm,BNC_Kit,Checked Out,tknaga,Checked In,2016-04-05,10:57:14pm
2016-04-05,10:57:31pm,BNC_Kit,Checked Out,tknaga,Checked In,2016-04-05,10:57:45pm
2016-04-06,12:28:25pm,BNC_Kit,Checked Out,jhooks,Checked In,2016-04-06,12:28:51pm
2016-04-06,12:28:29pm,Cat_6_Kit,Checked Out,jhooks,Checked In,2016-04-06,12:28:55pm
2016-04-06,12:30:36pm,BNC_Kit,Checked Out,jhooks,Checked In,2016-04-06,12:31:11pm
2016-04-06,12:30:49pm,Cat_6_Kit,Checked Out,jhooks,Checked In,2016-04-06,12:31:16pm
2016-04-11,02:37:25pm,Cat_6_Kit,Checked Out,jhooks,Checked In,2016-04-11,02:39:04pm
